t_trial_s,face_detected,pose_detected,avg_ar,l_wrist_hip,r_wrist_hip,mid_shoulder_x,l_ankle_x,r_ankle_x,l_foot_y,r_foot_y,l_hip_angle,r_hip_angle,raw_EYES_OPEN,raw_HANDS_OFF_HIPS,raw_STUMBLE_SWAY,raw_HIP_ABDUCTION,raw_FOOT_LIFT
0.005,False,True,0.0,0.0759,0.0811,0.479,0.5158,0.4656,0.8111,0.8095,170.1,166.62,False,False,False,False,False
0.039,False,True,0.0,0.076,0.0806,0.4791,0.5161,0.4656,0.8112,0.8095,169.97,166.5,False,False,False,False,False
0.072,False,True,0.0,0.0762,0.0807,0.4791,0.5164,0.4656,0.8112,0.8096,169.9,166.48,False,False,False,False,False
0.106,False,True,0.0,0.076,0.0808,0.4791,0.5164,0.4659,0.8114,0.8098,170.01,166.32,False,False,False,False,False
0.139,False,True,0.0,0.0763,0.0807,0.479,0.5179,0.4664,0.8114,0.8098,169.98,166.36,False,False,False,False,False
0.172,False,True,0.0,0.0765,0.0806,0.4789,0.5183,0.4665,0.8115,0.8098,170.14,166.42,False,False,False,False,False
0.206,False,True,0.0,0.0766,0.0805,0.4787,0.5185,0.4672,0.8119,0.8099,170.02,166.39,False,False,False,False,False
0.239,False,True,0.0,0.076,0.0805,0.4786,0.5185,0.4672,0.8119,0.81,170.02,166.32,False,False,False,False,False
0.273,False,True,0.0,0.076,0.0805,0.4782,0.5187,0.4674,0.8118,0.81,170.04,166.36,False,False,False,False,False
0.306,False,True,0.0,0.0757,0.0809,0.4776,0.5186,0.4677,0.8118,0.81,170.25,166.09,False,False,False,False,False
0.339,False,True,0.0,0.0756,0.0808,0.4768,0.5194,0.4679,0.8119,0.81,170.21,165.87,False,False,False,False,False
0.373,False,True,0.0,0.0759,0.0807,0.4761,0.5194,0.4682,0.8117,0.81,170.23,165.93,False,False,False,False,False
0.406,False,True,0.0,0.0753,0.0811,0.4748,0.5194,0.4683,0.8117,0.8099,170.58,165.73,False,False,False,False,False
0.44,False,True,0.0,0.0756,0.0811,0.474,0.5195,0.4683,0.8117,0.8099,170.79,165.62,False,False,False,False,False
0.473,False,True,0.0,0.0758,0.0809,0.473,0.5196,0.4685,0.8115,0.8099,170.99,165.36,False,False,False,False,False
0.506,False,True,0.0,0.0763,0.081,0.4718,0.5196,0.4686,0.8112,0.8099,171.11,165.12,False,False,False,False,False
0.54,False,True,0.0,0.0758,0.0814,0.4706,0.5194,0.4684,0.8111,0.8098,171.33,164.66,False,False,False,False,False
0.573,False,True,0.0,0.0765,0.0812,0.4691,0.5173,0.4683,0.8096,0.8098,171.83,164.27,False,False,False,False,False
0.606,False,True,0.0,0.077,0.081,0.4679,0.5155,0.4683,0.8091,0.8099,171.91,163.95,False,False,False,False,False
0.64,False,True,0.0,0.077,0.0809,0.4663,0.5158,0.4683,0.809,0.8099,172.21,163.2,False,False,False,False,False
0.673,False,True,0.0,0.0772,0.0808,0.4645,0.5157,0.469,0.809,0.81,172.89,162.72,False,False,False,False,False
0.707,False,True,0.0,0.0776,0.0802,0.4627,0.516,0.4696,0.8099,0.8101,173.71,162.26,False,False,False,False,False
0.74,False,True,0.0,0.0786,0.0798,0.4596,0.5157,0.4696,0.8101,0.8103,175.05,161.56,False,False,False,False,False
0.773,False,True,0.0,0.0787,0.0788,0.4572,0.5156,0.4695,0.81,0.8112,176.45,160.86,False,False,False,False,False
0.807,False,True,0.0,0.0789,0.0787,0.4542,0.5158,0.4692,0.81,0.8114,177.59,159.91,False,False,False,False,False
0.84,False,True,0.0,0.0791,0.0778,0.4513,0.5161,0.4687,0.8099,0.8114,178.73,159.35,False,False,False,False,False
0.874,False,True,0.0,0.0793,0.0783,0.45,0.5161,0.4687,0.8096,0.8115,179.75,158.59,False,False,False,False,False
0.907,False,True,0.0,0.0803,0.0776,0.4474,0.5162,0.4687,0.8101,0.8115,179.3,158.46,False,False,False,False,False
0.94,False,True,0.0,0.0805,0.0783,0.4465,0.5163,0.4687,0.8106,0.8114,178.3,157.87,False,False,False,False,False
0.974,False,True,0.0,0.0808,0.0778,0.4457,0.5185,0.4687,0.813,0.8111,178.16,157.58,False,False,False,False,False
1.007,False,True,0.0,0.0808,0.0781,0.4448,0.5185,0.4687,0.8127,0.8109,177.23,157.12,False,False,False,False,False
1.041,False,True,0.0,0.081,0.0777,0.4444,0.5198,0.4688,0.8135,0.8101,177.21,156.8,False,False,False,False,False
1.074,False,True,0.0,0.0809,0.0778,0.4442,0.521,0.4688,0.8144,0.8102,176.99,156.65,False,False,False,False,False
1.107,False,True,0.0,0.0808,0.0773,0.4439,0.5216,0.4689,0.8146,0.8102,176.97,156.53,False,False,False,False,False
1.141,False,True,0.0,0.0806,0.0774,0.444,0.5214,0.4687,0.8143,0.8097,176.91,156.33,False,False,False,False,False
1.174,False,True,0.0,0.0806,0.0774,0.4441,0.5215,0.4687,0.8142,0.8096,176.66,156.38,False,False,False,False,False
1.208,False,True,0.0,0.0805,0.0773,0.4442,0.5212,0.4686,0.8135,0.8092,176.69,156.43,False,False,False,False,False
1.241,False,True,0.0,0.0809,0.0776,0.4442,0.521,0.4682,0.8134,0.8092,177.18,156.65,False,False,False,False,False
1.274,False,True,0.0,0.0808,0.0777,0.4442,0.5206,0.4683,0.8104,0.8093,177.19,156.66,False,False,False,False,False
1.308,False,True,0.0,0.0805,0.0771,0.4445,0.5202,0.468,0.8101,0.8088,177.44,157.12,False,False,False,False,False
1.341,False,True,0.0,0.0809,0.077,0.4447,0.5194,0.4677,0.8086,0.8088,177.89,157.55,False,False,False,False,False
1.375,False,True,0.0,0.0812,0.077,0.4453,0.519,0.4672,0.8083,0.8087,178.28,157.48,False,False,False,False,False
1.408,False,True,0.0,0.0803,0.0764,0.4458,0.5178,0.4669,0.808,0.8086,178.85,157.79,False,False,False,False,False
1.441,False,True,0.0,0.0802,0.0762,0.4468,0.5158,0.4667,0.8078,0.8092,178.55,158.12,False,False,False,False,False
1.475,False,True,0.0,0.0799,0.0767,0.4478,0.5145,0.4665,0.8063,0.8092,178.93,157.74,False,False,False,False,False
1.508,False,True,0.0,0.08,0.0769,0.4489,0.5141,0.4662,0.8061,0.8093,179.57,158.24,False,False,False,False,False
1.542,False,True,0.0,0.0798,0.077,0.4497,0.5129,0.4651,0.806,0.8092,179.86,158.59,False,False,False,False,False
1.575,False,True,0.0,0.0797,0.0771,0.4506,0.5125,0.4649,0.806,0.8094,179.63,158.71,False,False,False,False,False
1.608,False,True,0.0,0.0798,0.0773,0.4517,0.5123,0.4649,0.806,0.809,179.34,159.33,False,False,False,False,False
1.642,False,True,0.0,0.0799,0.0774,0.4526,0.512,0.4644,0.8059,0.8085,178.95,159.75,False,False,False,False,False
1.675,False,True,0.0,0.0799,0.0774,0.4535,0.5119,0.4643,0.8058,0.808,178.63,160.11,False,False,False,False,False
1.708,False,True,0.0,0.0796,0.0772,0.4538,0.5109,0.4643,0.8057,0.8077,178.45,160.34,False,False,False,False,False
1.742,False,True,0.0,0.0794,0.0774,0.4541,0.5106,0.4644,0.8051,0.8073,178.41,160.54,False,False,False,False,False
1.775,False,True,0.0,0.0797,0.0775,0.4546,0.51,0.4643,0.805,0.8073,178.12,160.84,False,False,False,False,False
1.809,False,True,0.0,0.0793,0.0773,0.4549,0.5108,0.4644,0.8052,0.8065,177.99,161.12,False,False,False,False,False
1.842,False,True,0.0,0.0793,0.0776,0.4557,0.512,0.4653,0.8058,0.8064,177.65,161.66,False,False,False,False,False
1.875,False,True,0.0,0.0791,0.0774,0.4561,0.5125,0.4657,0.8068,0.8064,177.47,161.9,False,False,False,False,False
1.909,False,True,0.0,0.0789,0.0773,0.4561,0.5125,0.4655,0.8068,0.8063,177.42,161.91,False,False,False,False,False
1.942,False,True,0.0,0.0786,0.0773,0.4562,0.512,0.4653,0.8061,0.8061,177.49,161.95,False,False,False,False,False
1.976,False,True,0.0,0.0786,0.0772,0.4562,0.512,0.4653,0.806,0.806,177.47,161.94,False,False,False,False,False
2.009,False,True,0.0,0.0785,0.0771,0.4562,0.5125,0.4649,0.8057,0.8059,177.42,161.94,False,False,False,False,False
2.042,False,True,0.0,0.0791,0.0774,0.4565,0.5125,0.4648,0.8053,0.8059,177.33,162.06,False,False,False,False,False
2.076,False,True,0.0,0.0791,0.0774,0.4568,0.5125,0.4645,0.8053,0.806,177.28,162.16,False,False,False,False,False
2.109,False,True,0.0,0.0792,0.0774,0.4571,0.5125,0.4643,0.8053,0.806,177.18,162.34,False,False,False,False,False
2.143,False,True,0.0,0.0795,0.0777,0.4576,0.5125,0.4643,0.8053,0.806,177.09,162.39,False,False,False,False,False
2.176,False,True,0.0,0.0795,0.0775,0.4583,0.5126,0.4642,0.8053,0.806,176.84,162.58,False,False,False,False,False
2.209,False,True,0.0,0.0795,0.0778,0.4589,0.5126,0.4644,0.8061,0.8059,176.63,162.64,False,False,False,False,False
2.243,False,True,0.0,0.0794,0.0777,0.4598,0.5125,0.4642,0.8061,0.8058,176.49,162.84,False,False,False,False,False
2.276,False,True,0.0,0.0796,0.0773,0.4609,0.5124,0.4644,0.8061,0.8056,176.27,163.16,False,False,False,False,False
2.31,False,True,0.0,0.0797,0.0769,0.4621,0.513,0.4645,0.8063,0.8056,175.67,163.46,False,False,False,False,False
2.343,False,True,0.0,0.0798,0.0768,0.4635,0.513,0.4645,0.8062,0.8056,175.21,163.9,False,False,False,False,False
2.376,False,True,0.0,0.0802,0.0771,0.4656,0.5133,0.4645,0.8082,0.8058,174.47,164.49,False,False,False,False,False
2.41,False,True,0.0,0.0804,0.0771,0.467,0.5135,0.4645,0.8081,0.8058,174.01,164.7,False,False,False,False,False
2.443,False,True,0.0,0.08,0.0768,0.4685,0.5138,0.4646,0.8073,0.8057,173.45,164.91,False,False,False,False,False
2.477,False,True,0.0,0.0796,0.0765,0.4703,0.514,0.4646,0.806,0.805,172.75,165.32,False,False,False,False,False
2.51,False,True,0.0,0.0793,0.0765,0.4718,0.5138,0.4645,0.8039,0.8047,172.12,165.89,False,False,False,False,False
2.543,False,True,0.0,0.0794,0.077,0.4736,0.5146,0.4646,0.8043,0.8044,171.43,166.49,False,False,False,False,False
2.577,False,True,0.0,0.0791,0.0771,0.4761,0.5152,0.4647,0.8043,0.8041,170.6,167.45,False,False,False,False,False
2.61,False,True,0.0,0.0794,0.0773,0.4778,0.5159,0.4647,0.8046,0.8033,169.86,168.26,False,False,False,False,False
2.643,False,True,0.0,0.0795,0.0771,0.4802,0.5175,0.4642,0.8057,0.8034,168.91,169.64,False,False,False,False,False
2.677,False,True,0.0,0.0798,0.0769,0.4824,0.5174,0.4634,0.8057,0.8033,168.08,170.69,False,False,False,False,False
2.71,False,True,0.0,0.0794,0.0777,0.4842,0.5177,0.4633,0.8057,0.8042,167.45,171.58,False,False,False,False,False
2.744,False,True,0.0,0.0795,0.0779,0.4866,0.5188,0.4633,0.8058,0.8047,166.5,172.78,False,False,False,False,False
2.777,False,True,0.0,0.0789,0.0786,0.4888,0.5188,0.4633,0.8058,0.805,165.64,173.93,False,False,False,False,False
2.81,False,True,0.0,0.0784,0.0792,0.4908,0.5183,0.4629,0.8061,0.8054,165.54,175.29,False,False,False,False,False
2.844,False,True,0.0,0.0789,0.0795,0.4926,0.5183,0.4629,0.8062,0.8054,164.38,177.47,False,False,False,False,False
2.877,False,True,0.0,0.0791,0.0795,0.4948,0.5183,0.4633,0.8069,0.8059,163.92,178.97,False,False,False,False,False
2.911,False,True,0.0,0.078,0.0795,0.4969,0.5188,0.4634,0.8071,0.806,162.67,178.91,False,False,False,False,False
2.944,False,True,0.0,0.0792,0.0794,0.4995,0.5196,0.4647,0.807,0.8069,161.22,176.81,False,False,False,False,False
2.977,False,True,0.0,0.0786,0.0789,0.5017,0.5196,0.4653,0.807,0.8074,161.07,174.73,False,False,False,False,False
3.011,False,True,0.0,0.0786,0.0803,0.5048,0.5199,0.4665,0.807,0.8072,160.09,172.86,False,False,False,False,False
3.044,False,True,0.0,0.0787,0.0798,0.5069,0.5212,0.4667,0.807,0.8069,159.4,170.91,False,False,False,False,False
3.078,False,True,0.0,0.0783,0.0788,0.5093,0.522,0.4665,0.807,0.808,158.02,169.43,False,False,False,False,False
3.111,False,True,0.0,0.0783,0.0783,0.5115,0.5221,0.4664,0.8068,0.8082,157.4,168.03,False,False,False,False,False
3.144,False,True,0.0,0.0787,0.0779,0.514,0.5224,0.4655,0.8066,0.8088,156.52,166.92,False,False,False,False,False
3.178,False,True,0.0,0.0793,0.0767,0.5168,0.524,0.4655,0.8066,0.809,154.06,164.59,False,False,False,False,False
3.211,False,True,0.0,0.08,0.0761,0.5198,0.5261,0.4655,0.807,0.809,151.64,162.34,False,False,False,False,False
3.245,False,True,0.0,0.0788,0.0755,0.5237,0.5272,0.4656,0.8072,0.809,149.83,160.39,False,False,False,True,False
3.278,False,True,0.0,0.0791,0.0753,0.5266,0.5289,0.4663,0.8077,0.809,147.92,158.33,False,False,False,True,False
3.311,False,True,0.0,0.0784,0.0748,0.53,0.5289,0.4665,0.8073,0.8062,146.75,156.68,False,False,False,True,False
3.345,False,True,0.0,0.0789,0.0738,0.5323,0.5291,0.4678,0.8071,0.8063,145.28,154.84,False,False,False,True,False
3.378,False,True,0.0,0.0792,0.0727,0.5351,0.5293,0.4686,0.8059,0.8049,144.74,154.12,False,False,False,True,False
3.412,False,True,0.0,0.0771,0.073,0.5382,0.5294,0.4691,0.8052,0.804,144.16,152.71,False,False,False,True,False
3.445,False,True,0.0,0.077,0.0735,0.541,0.5296,0.4693,0.8051,0.804,142.92,151.43,False,False,False,True,False
3.478,False,True,0.0,0.0741,0.0739,0.5434,0.5287,0.4724,0.8027,0.8034,142.5,150.36,False,False,False,True,False
3.512,False,True,0.0,0.0743,0.0726,0.5461,0.5287,0.4759,0.8025,0.8031,140.94,149.33,False,False,False,True,False
3.545,False,True,0.0,0.0743,0.0725,0.5498,0.5289,0.4758,0.8026,0.8031,140.63,147.45,False,False,False,True,False
3.579,False,True,0.0,0.0739,0.0721,0.5516,0.5289,0.4756,0.8025,0.8033,139.62,146.08,False,False,False,True,False
3.612,False,True,0.0,0.0742,0.0723,0.5532,0.5284,0.4755,0.8019,0.8028,138.58,144.61,False,False,False,True,False
3.645,False,True,0.0,0.0739,0.0721,0.5553,0.5271,0.4753,0.8008,0.8025,139.05,143.66,False,False,False,True,False
3.679,False,True,0.0,0.0745,0.0713,0.5571,0.5274,0.4752,0.7995,0.8014,138.7,142.43,False,False,False,True,False
3.712,False,True,0.0,0.0748,0.0709,0.5588,0.5296,0.4751,0.7992,0.8007,137.86,141.69,False,False,False,True,False
3.745,False,True,0.0,0.0747,0.0695,0.5604,0.5298,0.4751,0.7975,0.7996,137.92,140.24,False,False,False,True,False
3.779,False,True,0.0,0.0736,0.0694,0.5614,0.5296,0.4744,0.7973,0.7976,138.35,140.8,False,False,False,True,False
3.812,False,True,0.0,0.0745,0.0675,0.5639,0.5301,0.4731,0.7957,0.796,137.03,140.98,False,False,False,True,False
3.846,False,True,0.0,0.0745,0.0668,0.564,0.5301,0.4731,0.7949,0.7954,136.21,141.65,False,False,False,True,False
3.879,False,True,0.0,0.0738,0.0663,0.5634,0.5301,0.4693,0.7931,0.7939,136.41,141.92,False,False,False,True,False
3.912,False,True,0.0,0.0739,0.0664,0.564,0.53,0.4671,0.7914,0.7928,136.38,141.84,False,False,False,True,False
3.946,False,True,0.0,0.0734,0.0648,0.5638,0.5302,0.467,0.7897,0.7911,136.47,142.43,False,False,False,True,True
3.979,False,True,0.0,0.0732,0.0649,0.5638,0.5301,0.467,0.7887,0.7899,136.56,142.65,False,False,False,True,True
4.013,False,True,0.0,0.0734,0.0647,0.5641,0.5301,0.4671,0.7892,0.7901,136.47,142.62,False,False,False,True,True
4.046,False,True,0.0,0.0742,0.0648,0.5641,0.5297,0.4673,0.7881,0.7899,136.54,142.73,False,False,False,True,True
4.079,False,True,0.0,0.0742,0.0648,0.5641,0.53,0.4678,0.7888,0.79,136.94,142.77,False,False,False,True,True
4.113,False,True,0.0,0.0742,0.0647,0.5641,0.5301,0.4688,0.789,0.7901,137.48,143.01,False,False,False,True,True
4.146,False,True,0.0,0.0747,0.065,0.5636,0.5305,0.4691,0.7908,0.7902,137.94,142.93,False,False,False,True,False
4.18,False,True,0.0,0.0749,0.0655,0.5629,0.5327,0.4713,0.792,0.7923,139.16,143.36,False,False,False,True,False
4.213,False,True,0.0,0.0747,0.066,0.5616,0.5325,0.4714,0.7919,0.7933,139.51,143.51,False,False,False,True,False
4.246,False,True,0.0,0.0749,0.0665,0.5605,0.5316,0.4708,0.7919,0.7933,139.99,144.37,False,False,False,True,False
4.28,False,True,0.0,0.0757,0.0675,0.5584,0.5315,0.4718,0.7919,0.7933,140.23,145.1,False,False,False,True,False
4.313,False,True,0.0,0.0759,0.0685,0.5559,0.5312,0.4722,0.7921,0.7933,141.03,146.27,False,False,False,True,False
4.347,False,True,0.0,0.0757,0.0694,0.5533,0.5312,0.472,0.7924,0.7935,140.39,147.22,False,False,False,True,False
4.38,False,True,0.0,0.0755,0.0701,0.552,0.5311,0.4721,0.7924,0.7931,139.74,148.15,False,False,False,True,False
4.413,False,True,0.0,0.0766,0.0706,0.5492,0.5293,0.4715,0.7924,0.7931,140.59,149.57,False,False,False,True,False
4.447,False,True,0.0,0.0774,0.071,0.5465,0.5286,0.4698,0.7924,0.7931,140.94,151.5,False,False,False,True,False
4.48,False,True,0.0,0.0783,0.0714,0.5432,0.5285,0.4686,0.7924,0.7928,141.31,153.3,False,False,False,True,False
4.514,False,True,0.0,0.0792,0.072,0.5394,0.528,0.4687,0.7927,0.7939,142.65,154.15,False,False,False,True,False
4.547,False,True,0.0,0.0808,0.0742,0.5359,0.5282,0.4682,0.7935,0.7933,143.87,156.32,False,False,False,True,False
4.58,False,True,0.0,0.081,0.0747,0.5324,0.5283,0.467,0.7949,0.7932,144.15,158.53,False,False,False,True,False
4.614,False,True,0.0,0.0814,0.0756,0.5296,0.5276,0.4656,0.7949,0.7933,144.61,159.76,False,False,False,True,False
4.647,False,True,0.0,0.0825,0.0762,0.5272,0.5271,0.4652,0.7948,0.794,145.51,161.19,False,False,False,True,False
4.68,False,True,0.0,0.0818,0.0771,0.5243,0.5252,0.4651,0.7948,0.7956,146.0,163.42,False,False,False,True,False
4.714,False,True,0.0,0.0821,0.077,0.5224,0.5227,0.4643,0.7946,0.7977,146.81,164.43,False,False,False,True,False
4.747,False,True,0.0,0.0827,0.0778,0.5215,0.5202,0.4641,0.7937,0.798,148.24,166.37,False,False,False,True,False
4.781,False,True,0.0,0.0833,0.0777,0.5195,0.52,0.4643,0.7936,0.7981,150.04,167.26,False,False,False,False,False
4.814,False,True,0.0,0.0835,0.0784,0.5171,0.5202,0.4643,0.7941,0.7981,152.11,169.29,False,False,False,False,False
4.847,False,True,0.0,0.0832,0.0781,0.5152,0.5203,0.4662,0.794,0.7981,152.4,170.86,False,False,False,False,False
4.881,False,True,0.0,0.0837,0.0774,0.5131,0.5203,0.4675,0.7941,0.798,153.34,171.59,False,False,False,False,False
4.914,False,True,0.0,0.0839,0.0783,0.5116,0.5205,0.4687,0.7944,0.7981,154.44,172.69,False,False,False,False,False
4.948,False,True,0.0,0.0845,0.0784,0.5097,0.5204,0.4688,0.7944,0.798,156.19,174.32,False,False,False,False,False
4.981,False,True,0.0,0.0834,0.0784,0.5081,0.5206,0.4687,0.7957,0.798,156.76,175.2,False,False,False,False,False
5.014,False,True,0.0,0.0838,0.0775,0.5062,0.5214,0.4687,0.7984,0.7985,157.78,176.28,False,False,False,False,False
5.048,False,True,0.0,0.0829,0.0776,0.5047,0.5214,0.4687,0.7986,0.7984,159.42,178.01,False,False,False,False,False
5.081,False,True,0.0,0.0829,0.0775,0.5037,0.521,0.4683,0.7981,0.798,161.14,179.38,False,False,False,False,False
5.115,False,True,0.0,0.0823,0.0774,0.5024,0.5211,0.4682,0.7982,0.798,162.83,179.03,False,False,False,False,False
5.148,False,True,0.0,0.0828,0.0765,0.5001,0.5212,0.4675,0.7981,0.798,163.81,177.6,False,False,False,False,False
5.181,False,True,0.0,0.0826,0.0768,0.4988,0.5213,0.4672,0.7983,0.798,164.88,176.14,False,False,False,False,False
5.215,False,True,0.0,0.083,0.0763,0.4966,0.5213,0.467,0.7992,0.7969,166.01,174.03,False,False,False,False,False
5.248,False,True,0.0,0.0824,0.0761,0.4951,0.5215,0.4664,0.7993,0.7958,166.85,172.14,False,False,False,False,False
5.282,False,True,0.0,0.0825,0.0758,0.4936,0.5215,0.4659,0.8001,0.7958,168.12,170.86,False,False,False,False,False
5.315,False,True,0.0,0.0829,0.0747,0.4925,0.522,0.4659,0.8005,0.7957,168.68,169.75,False,False,False,False,False
5.348,False,True,0.0,0.0825,0.074,0.4908,0.5228,0.4664,0.8007,0.7955,169.92,168.45,False,False,False,False,False
5.382,False,True,0.0,0.0826,0.0741,0.4891,0.5244,0.4683,0.8008,0.7938,170.72,167.39,False,False,False,False,False
5.415,False,True,0.0,0.0825,0.074,0.487,0.5248,0.4707,0.801,0.7938,170.88,166.37,False,False,False,False,False
5.449,False,True,0.0,0.0822,0.074,0.4863,0.5258,0.4714,0.801,0.7935,170.82,165.94,False,False,False,False,False
5.482,False,True,0.0,0.0821,0.0739,0.4857,0.5276,0.4722,0.8009,0.7931,170.93,165.6,False,False,False,False,False
5.515,False,True,0.0,0.0823,0.0739,0.4855,0.5287,0.4726,0.8009,0.7926,170.91,165.4,False,False,False,False,False
5.549,False,True,0.0,0.0825,0.0738,0.4854,0.5291,0.4732,0.8008,0.7926,170.88,165.37,False,False,False,False,False
5.582,False,True,0.0,0.0823,0.0738,0.4854,0.5293,0.4737,0.8006,0.7924,170.86,165.57,False,False,False,False,False
5.616,False,True,0.0,0.0823,0.0737,0.4855,0.5298,0.4737,0.8004,0.7923,170.79,165.65,False,False,False,False,False
5.649,False,True,0.0,0.0823,0.0736,0.4856,0.53,0.4736,0.8004,0.7924,170.73,165.94,False,False,False,False,False
5.682,False,True,0.0,0.0826,0.0732,0.4856,0.5304,0.4736,0.8002,0.7924,170.53,166.43,False,False,False,False,False
5.716,False,True,0.0,0.0826,0.073,0.4857,0.5306,0.4728,0.8004,0.7927,170.41,166.82,False,False,False,False,False
5.749,False,True,0.0,0.0826,0.0729,0.4859,0.5303,0.4722,0.8004,0.7929,170.15,167.15,False,False,False,False,False
5.782,False,True,0.0,0.0828,0.0728,0.486,0.5297,0.4712,0.8004,0.7929,169.84,167.55,False,False,False,False,False
5.816,False,True,0.0,0.0825,0.0727,0.486,0.5294,0.4707,0.8005,0.793,169.71,167.84,False,False,False,False,False
5.849,False,True,0.0,0.0817,0.0732,0.4861,0.5289,0.4703,0.8006,0.7934,169.43,167.89,False,False,False,False,False
5.883,False,True,0.0,0.0817,0.0733,0.4862,0.5286,0.4695,0.8011,0.7936,169.18,168.2,False,False,False,False,False
5.916,False,True,0.0,0.0811,0.0735,0.4862,0.5283,0.4687,0.8014,0.7938,169.11,168.63,False,False,False,False,False
5.949,False,True,0.0,0.0808,0.0734,0.4863,0.528,0.4674,0.8014,0.7941,169.17,168.72,False,False,False,False,False
5.983,False,True,0.0,0.0807,0.0729,0.4864,0.5274,0.4671,0.801,0.794,169.26,169.19,False,False,False,False,False
6.016,False,True,0.0,0.0808,0.0724,0.4864,0.5271,0.466,0.8008,0.794,169.11,169.71,False,False,False,False,False
6.05,False,True,0.0,0.0806,0.0726,0.4864,0.527,0.4653,0.8007,0.7939,169.01,169.74,False,False,False,False,False
6.083,False,True,0.0,0.0804,0.0722,0.4863,0.5265,0.4652,0.8007,0.794,169.14,169.89,False,False,False,False,False
6.116,False,True,0.0,0.0803,0.0722,0.4863,0.5265,0.4648,0.8011,0.794,169.09,169.5,False,False,False,False,False
6.15,False,True,0.0,0.08,0.072,0.4863,0.5263,0.4646,0.8011,0.794,169.08,169.12,False,False,False,False,False
6.183,False,True,0.0,0.0802,0.0721,0.4862,0.5263,0.4646,0.8011,0.794,169.19,168.75,False,False,False,False,False
6.217,False,True,0.0,0.0802,0.0728,0.4862,0.5264,0.4657,0.8011,0.7936,169.34,168.4,False,False,False,False,False
6.25,False,True,0.0,0.0805,0.0734,0.4861,0.5264,0.4664,0.8012,0.7931,169.62,167.78,False,False,False,False,False
6.283,False,True,0.0,0.0801,0.0728,0.4859,0.5256,0.4686,0.8011,0.7931,169.81,166.49,False,False,False,False,False
6.317,False,True,0.0,0.081,0.0737,0.4859,0.5255,0.4691,0.8013,0.7929,169.6,164.98,False,False,False,False,False
6.35,False,True,0.0,0.0809,0.0746,0.4857,0.5242,0.4688,0.8012,0.7929,170.26,162.99,False,False,False,False,False
6.384,False,True,0.0,0.0812,0.0754,0.4853,0.5233,0.4695,0.8012,0.7925,170.08,162.82,False,False,False,False,False
6.417,False,True,0.0,0.0817,0.0742,0.4851,0.5234,0.4695,0.8028,0.7925,169.76,162.78,False,False,False,False,False
6.45,False,True,0.0,0.0812,0.0727,0.4847,0.5238,0.4694,0.8043,0.7934,169.04,162.51,False,False,False,False,False
6.484,False,True,0.0,0.0812,0.0717,0.4841,0.5255,0.4694,0.8054,0.7934,169.08,162.86,False,False,False,False,False
6.517,False,True,0.0,0.081,0.0706,0.4838,0.5258,0.4692,0.8048,0.7936,169.34,162.26,False,False,False,False,False
6.551,False,True,0.0,0.0794,0.07,0.4833,0.5259,0.4687,0.8022,0.7935,170.09,161.45,False,False,False,False,False
6.584,False,True,0.0,0.079,0.0693,0.483,0.5262,0.4687,0.8021,0.794,171.27,160.75,False,False,False,False,False
